Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9948920955178138,0.9947428571428572,0.9961089494163424,0.9954254345837146
Naive Bayes,0.9736942919167412,0.9964226091104221,0.9562829022659648,0.9759402008876431
Random Forest,0.9954028859660324,0.9972458113380767,0.9945067521171893,0.9958743983497593
Neural Network,0.9956582811901418,0.9952021932830706,0.9970244907301442,0.9961125085753487
